"Zeitstempel","Wiek","Płeć","Czy grasz w gry komputerowe?","Ile rocznie wydajesz na kupno gier wideo?","Ile rocznie wydajesz na zakup wirtualnych przedmiotów w grach? (np. Riot Point, skiny CS:GO)","Ile rocznie wydajesz na sprzęt elektroniczny związany z graniem? (np. słuchawki, klawiatury)","Na jaką platformę najczęściej kupujesz gry lub waluty?","Ile tygodniowo grasz w gry?","Na jaką grę wydajesz (przedmioty) najwięcej pieniędzy?","Pieniądze w grach wydaję:","Jako nagrodę za wygraną w turnieju chciałbym dostać:","Główne źródło przychodów:","Miesięczne wolne środki do rozdysponowania na hobby, kulturę, rozrywkę:"
"2022/01/06 9:16:36 AM GMT-8","23-26","Mężyczyzna","Tak","100 - 200 zł","200 - 500 zł","1 - 99 zł","Komputer stacjonarny lub laptop","5 - 10h","World Of Tanks","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/06 9:16:57 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","powyżej 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","100 - 250 zł"
"2022/01/06 9:37:41 AM GMT-8","15-18","Mężyczyzna","Tak","200 - 500 zł","0 zł","100 - 200 zł","Konsole PlayStation","2 - 5h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/06 9:40:11 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","1 - 99 zł","0 zł","Komputer stacjonarny lub laptop","0 - 2h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/06 10:04:32 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","200 - 500 zł","200 - 500 zł","Komputer stacjonarny lub laptop","5 - 10h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2022/01/06 10:16:58 AM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","500+ zł","200 - 500 zł","Komputer stacjonarny lub laptop","10 - 25h","The pride of taern","regularnie","Wirtualny przedmiot związany z grą wiodącą turnieju","Zarobki z pracy","powyżej 500 zł"
"2022/01/06 10:33:39 AM GMT-8","23-26","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","200 - 500 zł","Konsole PlayStation","10 - 25h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2022/01/06 10:34:40 AM GMT-8","15-18","Mężyczyzna","Tak","100 - 200 zł","200 - 500 zł","powyżej 500 zł","Telefon","5 - 10h","Genshin Impact","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","250 - 500 zł"
"2022/01/06 10:55:18 AM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","2 - 5h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/06 10:58:23 AM GMT-8","Powyżej 26","Mężyczyzna","Tak","0 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","5 - 10h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/06 11:07:47 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","100 - 200 zł","1 - 99 zł","Komputer stacjonarny lub laptop","powyżej 25h","Margonem","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","0 - 100 zł"
"2022/01/06 11:27:27 AM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","100 - 200 zł","100 - 200 zł","Telefon","5 - 10h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","0 - 100 zł"
"2022/01/06 3:05:37 PM GMT-8","19-22","Mężyczyzna","Nie","","","","","","","","","",""
"2022/01/06 3:16:14 PM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","0 zł","0 zł","Komputer stacjonarny lub laptop","2 - 5h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/06 5:18:32 PM GMT-8","23-26","Mężyczyzna","Tak","200 - 500 zł","100 - 200 zł","1 - 99 zł","Komputer stacjonarny lub laptop","powyżej 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/06 6:21:40 PM GMT-8","15-18","Mężyczyzna","Tak","1 - 99 zł","0 zł","1 - 99 zł","Komputer stacjonarny lub laptop","powyżej 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/06 6:25:31 PM GMT-8","19-22","Mężyczyzna","Tak","0 zł","1 - 99 zł","1 - 99 zł","Komputer stacjonarny lub laptop","powyżej 25h","Margonem","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Zarobki z pracy","250 - 500 zł"
"2022/01/06 6:39:19 PM GMT-8","19-22","Mężyczyzna","Tak","200 - 500 zł","0 zł","1 - 99 zł","Komputer stacjonarny lub laptop","powyżej 25h","Na żadną","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2022/01/06 6:58:27 PM GMT-8","23-26","Mężyczyzna","Tak","500+ zł","200 - 500 zł","200 - 500 zł","Komputer stacjonarny lub laptop","powyżej 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Wirtualny przedmiot związany z grą wiodącą turnieju","Zarobki z pracy","250 - 500 zł"
"2022/01/06 7:56:58 PM GMT-8","15-18","Mężyczyzna","Tak","100 - 200 zł","0 zł","0 zł","Konsole PlayStation","5 - 10h","Zadne","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","0 - 100 zł"
"2022/01/06 10:46:01 PM GMT-8","Powyżej 26","Mężyczyzna","Tak","1 - 99 zł","100 - 200 zł","1 - 99 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/07 12:15:20 AM GMT-8","15-18","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","100 - 200 zł","Konsole PlayStation","10 - 25h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/07 12:19:46 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","100 - 200 zł","200 - 500 zł","Komputer stacjonarny lub laptop","5 - 10h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","100 - 250 zł"
"2022/01/07 12:20:11 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","0 zł","0 zł","Komputer stacjonarny lub laptop","2 - 5h","Tytuły FIFA","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","0 - 100 zł"
"2022/01/07 12:36:27 AM GMT-8","19-22","Kobieta","Tak","1 - 99 zł","1 - 99 zł","0 zł","Telefon","powyżej 25h","Game of Sultans, na telefon ","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","100 - 250 zł"
"2022/01/07 12:57:47 AM GMT-8","15-18","Mężyczyzna","Tak","200 - 500 zł","0 zł","100 - 200 zł","Komputer stacjonarny lub laptop","5 - 10h","Nie wydaje","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/07 1:50:12 AM GMT-8","23-26","Mężyczyzna","Tak","1 - 99 zł","1 - 99 zł","100 - 200 zł","Telefon","2 - 5h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2022/01/07 2:20:16 AM GMT-8","23-26","Mężyczyzna","Tak","200 - 500 zł","0 zł","100 - 200 zł","Konsole PlayStation","5 - 10h","Nie wydaje na przedmioty","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/07 2:45:31 AM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","500+ zł","200 - 500 zł","Konsole PlayStation","10 - 25h","Tytuły FIFA","regularnie","Inne nagrody, upominki","Zarobki z pracy","powyżej 500 zł"
"2022/01/07 5:59:47 AM GMT-8","23-26","Mężyczyzna","Tak","0 zł","1 - 99 zł","0 zł","Komputer stacjonarny lub laptop","2 - 5h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Wirtualny przedmiot związany z grą wiodącą turnieju","Zarobki z pracy","powyżej 500 zł"
"2022/01/07 6:57:02 AM GMT-8","15-18","Mężyczyzna","Tak","100 - 200 zł","1 - 99 zł","1 - 99 zł","Komputer stacjonarny lub laptop","0 - 2h","Euro truck simulator ","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Kieszonkowe","100 - 250 zł"
"2022/01/07 7:21:16 AM GMT-8","Powyżej 26","Mężyczyzna","Tak","100 - 200 zł","0 zł","1 - 99 zł","Konsole XBOX","5 - 10h","Zadna","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","100 - 250 zł"
"2022/01/07 7:52:30 AM GMT-8","15-18","Mężyczyzna","Tak","200 - 500 zł","100 - 200 zł","200 - 500 zł","Komputer stacjonarny lub laptop","5 - 10h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/07 11:02:41 AM GMT-8","Powyżej 26","Mężyczyzna","Nie","","","","","","","","","",""
"2022/01/07 11:18:52 AM GMT-8","19-22","Mężyczyzna","Nie","","","","","","","","","",""
"2022/01/07 12:10:49 PM GMT-8","23-26","Mężyczyzna","Nie","","","","","","","","","",""
"2022/01/07 4:09:14 PM GMT-8","Powyżej 26","Mężyczyzna","Tak","500+ zł","1 - 99 zł","100 - 200 zł","Konsole PlayStation","5 - 10h","Zależy, co siądzie","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/08 8:34:09 AM GMT-8","15-18","Mężyczyzna","Tak","200 - 500 zł","1 - 99 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","League of Legends","okazjonalnie, np. nowa skórka do ulubionej postaci","Inne nagrody, upominki","Kieszonkowe","0 - 100 zł"
"2022/01/08 8:59:27 AM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","1 - 99 zł","100 - 200 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zasiłki, stypendia etc.","250 - 500 zł"
"2022/01/08 9:50:17 PM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","0 zł","1 - 99 zł","Konsole PlayStation","0 - 2h","Żadną","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/09 3:38:47 AM GMT-8","Powyżej 26","Mężyczyzna","Nie","","","","","","","","","",""
"2022/01/09 9:13:19 PM GMT-8","19-22","Mężyczyzna","Tak","100 - 200 zł","500+ zł","200 - 500 zł","Komputer stacjonarny lub laptop","powyżej 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/09 10:55:44 PM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","200 - 500 zł","0 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","250 - 500 zł"
"2022/01/10 5:13:50 PM GMT-8","Powyżej 26","Mężyczyzna","Tak","500+ zł","500+ zł","200 - 500 zł","Konsole PlayStation","10 - 25h","Fortnite","okazjonalnie, np. nowa skórka do ulubionej postaci","Wirtualny przedmiot związany z grą wiodącą turnieju","Zarobki z pracy","powyżej 500 zł"
"2022/01/10 6:12:52 PM GMT-8","19-22","Mężyczyzna","Tak","0 zł","200 - 500 zł","0 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zasiłki, stypendia etc.","100 - 250 zł"
"2022/01/10 6:33:03 PM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","500+ zł","powyżej 500 zł","Komputer stacjonarny lub laptop","5 - 10h","CS:GO","regularnie","Inne nagrody, upominki","Zarobki z pracy","powyżej 500 zł"
"2022/01/10 7:13:38 PM GMT-8","19-22","Mężyczyzna","Tak","1 - 99 zł","1 - 99 zł","100 - 200 zł","Konsole PlayStation","5 - 10h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","100 - 250 zł"
"2022/01/11 1:12:43 AM GMT-8","19-22","Mężyczyzna","Tak","500+ zł","500+ zł","powyżej 500 zł","Komputer stacjonarny lub laptop","10 - 25h","CS:GO","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/11 2:44:25 AM GMT-8","Powyżej 26","Mężyczyzna","Nie","","","","","","","","","",""
"2022/01/11 3:09:50 AM GMT-8","Powyżej 26","Mężyczyzna","Tak","500+ zł","0 zł","100 - 200 zł","Konsole PlayStation","10 - 25h","Call of duty","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
"2022/01/12 3:39:43 AM GMT-8","19-22","Mężyczyzna","Tak","0 zł","1 - 99 zł","0 zł","Komputer stacjonarny lub laptop","2 - 5h","Taern ","okazjonalnie, np. nowa skórka do ulubionej postaci","Pieniądze (w formie wirtualnej lub fizycznej)","Zarobki z pracy","powyżej 500 zł"
